cpId,bloque,escenario,titulo,prioridad,tipo,estatus,ejecutadoPor
E6-C-01.6,BD1,Validar que no se cargue un archivo sin datos en el flujo de Comunes,Traer archivo Unidades de Cuenta - BBA/VFA definido en el proceso Comunes y sin datos en el proceso de Comunes,Medio,Manual,Passed,Angel
E6-C-01.7,BD1,Validar que no se cargue un archivo sin datos en el flujo de Comunes,Carga del archivo Configuración de Parches con la estructura definida y sin datos en el proceso de Comunes,Medio,Manual,Passed,Yaneisy
E8-C-01.1,BD1,Validar que no se cargue un archivo con los datos incompletos en el  flujo de comunes,Validar la carga del archivo con los datos incompletos para Líneas definido en el proceso de Comunes,Medio,Manual,Passed,Angel
E8-C-01.2,BD1,Validar que no se cargue un archivo con los datos incompletos en el  flujo de comunes,Validar la carga del archivo con los datos incompletos para Grupo Producto definido en el proceso de Comunes,Medio,Manual,Passed,Angel
E8-C-01.3,BD1,Validar que no se cargue un archivo con los datos incompletos en el  flujo de comunes,Validar la carga del archivo con los datos incompletos para Canales definido en el proceso de Comunes,Medio,Manual,Passed,Angel
E8-C-01.4,BD1,Validar que no se cargue un archivo con los datos incompletos en el  flujo de comunes,Validar la carga del archivo con los datos incompletos para Subcanales definido en el proceso de Comunes,Medio,Manual,Passed,Angel
E8-C-01.5,BD1,Validar que no se cargue un archivo con los datos incompletos en el  flujo de comunes,Validar la carga del archivo con los datos incompletos para Maestro UOA definido en el proceso de Comunes,Medio,Manual,Passed,Angel
E8-C-01.6,BD1,Validar que no se cargue un archivo con los datos incompletos en el  flujo de comunes,Validar la carga del archivo con los datos incompletos para Configuración de Parches definido en el proceso de Comunes,Medio,Manual,Failed,Angel Farro
E61-C-01.1,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de más de 30 mb de peso para Líneas definido en el proceso Comunes,Baja,Manual,Passed,Yaneisy
E61-C-01.2,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de mas de 30 mb de peso para Líneas definido en el proceso Comunes,Baja,Manual,To Do,Yaneisy
E61-C-01.3,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de mas de 30 mb de peso para Líneas definido en el proceso Comunes,Baja,Manual,To Do,Yaneisy
E61-C-01.4,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de mas de 30 mb de peso para Líneas definido en el proceso Comunes,Baja,Manual,To Do,Yaneisy
E61-C-01.5,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de mas de 30 mb de peso para Líneas definido en el proceso Comunes,Baja,Manual,To Do,Yaneisy
E61-C-01.6,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de mas de 30 mb de peso para Líneas definido en el proceso Comunes,Baja,Manual,To Do,Yaneisy
E61-C-01.2,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de más de 30 mb de peso para Grupo Producto definido en el proceso Comunes,Baja,Manual,Passed,Yaneisy
E61-C-01.3,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de más de 30 mb de peso para Canales definido en el proceso Comunes,Baja,Manual,Passed,Yaneisy
E61-C-01.4,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de más de 30 mb de peso para Subcanales definido en el proceso Comunes,Baja,Manual,Passed,Yaneisy
E61-C-01.5,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de más de 30 mb de peso para Maestro UoA definido en el proceso Comunes,Baja,Manual,Passed,Yaneisy
E61-C-01.6,BD1,Validar  que no se cargue un archivo de más de 30 Mb en el flujo de Comunes,Validar la carga del archivo de más de 30 mb de peso para Configuración de Parches definido en el proceso Comunes,Baja,Manual,Passed,Yaneisy
E9-C-01.1,BD1,Validar que se muestren en el FronEnd los datos de los archivos cargados en el  flujo de comunes,Validar que se muestren en el FronEnd los datos de archivo Líneas del proceso de Comunes,Medio,Automatizada,Passed,Angel Farro
E9-C-01.2,BD1,Validar que se muestren en el FronEnd los datos de los archivos cargados en el  flujo de comunes,Validar que se muestren en el FronEnd los datos de archivo Grupo Producto del proceso de Comunes,Medio,Automatizada,Passed,Angel Farro
E9-C-01.3,BD1,Validar que se muestren en el FronEnd los datos de los archivos cargados en el  flujo de comunes,Validar que se muestren en el FronEnd los datos de archivo Canales del proceso de Comunes,Medio,Automatizada,Passed,Angel Farro
E9-C-01.4,BD1,Validar que se muestren en el FronEnd los datos de los archivos cargados en el  flujo de comunes,Validar que se muestren en el FronEnd los datos de archivo Subcanales del proceso de Comunes,Medio,Automatizada,Passed,Angel Farro
E9-C-01.5,BD1,Validar que se muestren en el FronEnd los datos de los archivos cargados en el  flujo de comunes,Validar que se muestren en el FronEnd los datos de archivo Maestro UoA del proceso de Comunes,Medio,Automatizada,Passed,Angel Farro
E9-C-01.6,BD1,Validar que se muestren en el FronEnd los datos de los archivos cargados en el  flujo de comunes,Validar que se muestren en el FronEnd los datos de archivo Unidades de Cuenta - BBA/VFA del proceso de Comunes,Medio,Automatizada,Passed,Angel Farro
E9-C-01.7,BD1,Validar que se muestren en el FronEnd los datos de los archivos cargados en el  flujo de comunes,Validar que se muestren en el FronEnd los datos de archivo Configuración de Parches del proceso de Comunes,Medio,Automatizada,Failed,Angel
E10-C-01.1,BD1,Validar la correcta ejecución del flujo de descargas de los archivos cargados en el  proceso de Comunes,Validar la correcta ejecución del flujo de descargas del archivo Líneas del proceso de Comunes,Baja,Automatizada,Failed,Angel Farro
E10-C-01.2,BD1,Validar la correcta ejecución del flujo de descargas de los archivos cargados en el  proceso de Comunes,Validar la correcta ejecución del flujo de descargas del archivo Grupo Producto del proceso de Comunes,Baja,Automatizada,Passed,Angel Farro
E10-C-01.3,BD1,Validar la correcta ejecución del flujo de descargas de los archivos cargados en el  proceso de Comunes,Validar la correcta ejecución del flujo de descargas del archivo Canales del proceso de Comunes,Baja,Automatizada,Passed,Angel Farro
E10-C-01.4,BD1,Validar la correcta ejecución del flujo de descargas de los archivos cargados en el  proceso de Comunes,Validar la correcta ejecución del flujo de descargas del archivo Subcanales del proceso de Comunes,Baja,Automatizada,Passed,Angel Farro
E10-C-01.5,BD1,Validar la correcta ejecución del flujo de descargas de los archivos cargados en el  proceso de Comunes,Validar la correcta ejecución del flujo de descargas del archivo Maestro UoA del proceso de Comunes,Baja,Automatizada,Passed,Angel Farro
E10-C-01.6,BD1,Validar la correcta ejecución del flujo de descargas de los archivos cargados en el  proceso de Comunes,Validar la correcta ejecución del flujo de descargas del archivo Unidades de Cuenta - BBA/VFA del proceso de Comunes,Baja,Automatizada,Passed,Angel Farro
E10-C-01.7,BD1,Validar la correcta ejecución del flujo de descargas de los archivos cargados en el  proceso de Comunes,Validar la correcta ejecución del flujo de descargas del archivo Configuración de Parches del proceso de Comunes,Baja,Automatizada,Passed,Angel Farro
E11-C-01.1,BD1,Validar que el archivo descargado muestre los datos correctamente y no tenga perdida de información en el  flujo de comunes ,Validar alteración en el archivo descargado Líneas del proceso de Comunes,Medio,Manual,Passed,Yaimara Guerra
E11-C-01.2,BD1,Validar que el archivo descargado muestre los datos correctamente y no tenga perdida de información en el  flujo de comunes ,Validar alteración en el archivo descargado Grupo Producto del proceso de Comunes,Medio,Manual,Passed,Yaimara Guerra
E11-C-01.3,BD1,Validar que el archivo descargado muestre los datos correctamente y no tenga perdida de información en el  flujo de comunes ,Validar alteración en el archivo descargado Canales del proceso de Comunes,Medio,Manual,Passed,Yaimara Guerra
E11-C-01.4,BD1,Validar que el archivo descargado muestre los datos correctamente y no tenga perdida de información en el  flujo de comunes ,Validar alteración en el archivo descargado Subcanales del proceso de Comunes,Medio,Manual,Passed,Yaimara Guerra
E11-C-01.5,BD1,Validar que el archivo descargado muestre los datos correctamente y no tenga perdida de información en el  flujo de comunes ,Validar alteración en el archivo descargado Maestro UoA del proceso de Comunes,Medio,Manual,Passed,Yaimara Guerra
E11-C-01.6,BD1,Validar que el archivo descargado muestre los datos correctamente y no tenga perdida de información en el  flujo de comunes ,Validar alteración en el archivo descargado Unidades de Cuenta - BBA/VFA del proceso de Comunes,Medio,Manual,Passed,Angel Farro
E11-C-01.7,BD1,Validar que el archivo descargado muestre los datos correctamente y no tenga perdida de información en el  flujo de comunes ,Validar alteración en el archivo descargado Configuración de Parches del proceso de Comunes,Medio,Manual,Passed,angel Farro
E35-C-01.1,BD1,Validar que el sistema pueda agregar un nuevo registro en el  flujo de comunes,Validar el correcto funcionamiento de agregar un nuevo registro en el  flujo de comunes de Líneas ,Alta,Automatizada,Passed,Angel Farro
E35-C-01.2,BD1,Validar que el sistema pueda agregar un nuevo registro en el  flujo de comunes,Validar el correcto funcionamiento de agregar un nuevo registro en el  flujo de comunes de Grupo Producto,Alta,Automatizada,Passed,Angel Farro
E35-C-01.3,BD1,Validar que el sistema pueda agregar un nuevo registro en el  flujo de comunes,Validar el correcto funcionamiento de agregar un nuevo registro en el  flujo de comunes de Canales,Alta,Automatizada,Passed,Angel Farro
E35-C-01.4,BD1,Validar que el sistema pueda agregar un nuevo registro en el  flujo de comunes,Validar el correcto funcionamiento de agregar un nuevo registro en el  flujo de comunes de Subcanales,Alta,Manual,Passed,Carolina
E35-C-01.5,BD1,Validar que el sistema pueda agregar un nuevo registro en el  flujo de comunes,Validar el correcto funcionamiento de agregar un nuevo registro en el  flujo de comunes de Configuración de Parches,Alta,Automatizada,Blocked,angel Farro
E35-C-02.1,BD1,Validar las reglas de negocio al agregar un registro en el  flujo de comunes,Validar que no se pueda agregar un nuevo registro porque no cumplen con las reglas definidas de negocio en el  flujo de comunes de Líneas ,Alta,Manual,Passed,Yaneisy
E35-C-02.2,BD1,Validar las reglas de negocio al agregar un registro en el  flujo de comunes,Validar que no se pueda agregar un nuevo registro porque no cumplen con las reglas definidas de negocio en el  flujo de comunes de Grupo Producto,Alta,Manual,Passed,Yaneisy
E35-C-02.3,BD1,Validar las reglas de negocio al agregar un registro en el  flujo de comunes,Validar que no se pueda agregar un nuevo registro porque no cumplen con las reglas definidas de negocio en el  flujo de comunes de Canales,Alta,Manual,Passed,Yaneisy
E35-C-02.4,BD1,Validar las reglas de negocio al agregar un registro en el  flujo de comunes,Validar que no se pueda agregar un nuevo registro porque no cumplen con las reglas definidas de negocio en el  flujo de comunes de Subcanales,Alta,Manual,Passed,Yaneisy
E35-C-02.5,BD1,Validar las reglas de negocio al agregar un registro en el  flujo de comunes,Validar que no se pueda agregar un nuevo registro porque no cumplen con las reglas definidas de negocio en el  flujo de comunes de Configuración de Parches,Alta,Manual,Failed,Angel Farro
E35-C-03.1,BD1,Validar el formato y campos obligatorios del formulario en un nuevo registro en el  flujo de comunes,Validar que no se pueda agregar un nuevo registro por error de formato de los campos en el  flujo de comunes de Líneas ,Medio,Manual,Passed,Leidy
E35-C-03.2,BD1,Validar el formato y campos obligatorios del formulario en un nuevo registro en el  flujo de comunes,Validar que no se pueda agregar un nuevo registro por error de formato de los campos en el  flujo de comunes de Grupo Producto,Medio,Manual,Passed,Leidy
E35-C-03.3,BD1,Validar el formato y campos obligatorios del formulario en un nuevo registro en el  flujo de comunes,Validar que no se pueda agregar un nuevo registro por error de formato de los campos en el  flujo de comunes de Canales,Medio,Manual,Passed,Leidy
E35-C-03.4,BD1,Validar el formato y campos obligatorios del formulario en un nuevo registro en el  flujo de comunes,Validar que no se pueda agregar un nuevo registro por error de formato de los campos en el  flujo de comunes de Subcanales,Medio,Manual,Passed,Leidy
E35-C-03.5,BD1,Validar el formato y campos obligatorios del formulario en un nuevo registro en el  flujo de comunes,Validar que no se pueda agregar un nuevo registro por error de formato de los campos en el  flujo de comunes de Configuración de Parches,Medio,Manual,Passed,Yaneisy
E35-C-04.1,BD1,Validar que el sistema pueda agregar un nuevo registro pero al subir el archivo del periodo este se sobreescriba en el  flujo de comunes,Validar el correcto funcionamiento de sobreescribir un nuevo registro manual al cargar el archivo periodo en el  flujo de comunes de Líneas ,Medio,Manual,Passed,Leidy
E35-C-04.2,BD1,Validar que el sistema pueda agregar un nuevo registro pero al subir el archivo del periodo este se sobreescriba en el  flujo de comunes,Validar el correcto funcionamiento de agregar un nuevo registro en el  flujo de comunes de Grupo Producto,Medio,Manual,Passed,Leidy
E35-C-04.3,BD1,Validar que el sistema pueda agregar un nuevo registro pero al subir el archivo del periodo este se sobreescriba en el  flujo de comunes,Validar el correcto funcionamiento de agregar un nuevo registro en el  flujo de comunes de Canales,Medio,Manual,Passed,Leidy
E35-C-04.4,BD1,Validar que el sistema pueda agregar un nuevo registro pero al subir el archivo del periodo este se sobreescriba en el  flujo de comunes,Validar el correcto funcionamiento de agregar un nuevo registro en el  flujo de comunes de Subcanales,Medio,Manual,Passed,Leidy
E35-C-04.5,BD1,Validar que el sistema pueda agregar un nuevo registro pero al subir el archivo del periodo este se sobreescriba en el  flujo de comunes,Validar el correcto funcionamiento de agregar un nuevo registro en el  flujo de comunes de Configuración de Parches,Medio,Manual,Blocked,Esteban
E36-C-01.1,BD1,Validar que el sistema pueda editar un registro en el  flujo de comunes,Validar el correcto funcionamiento de editar un registro de Líneas en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E36-C-01.2,BD1,Validar que el sistema pueda editar un registro en el  flujo de comunes,Validar el correcto funcionamiento de editar un registro de Grupo Producto en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E36-C-01.3,BD1,Validar que el sistema pueda editar un registro en el  flujo de comunes,Validar el correcto funcionamiento de editar un registro de Canales en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E36-C-01.4,BD1,Validar que el sistema pueda editar un registro en el  flujo de comunes,Validar el correcto funcionamiento de editar un registro de Subcanales en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E36-C-01.5,BD1,Validar que el sistema pueda editar un registro en el  flujo de comunes,Validar el correcto funcionamiento de editar un registro de Configuración de Parches en el  flujo de comunes ,Medio,Automatizada,Failed,Angel Farro
E36-C-02.1,BD1,Validar las reglas de negocio al editar un registro en el  flujo de comunes,Validar que no se pueda editar un nuevo registro de Líneas porque no cumplen con las reglas definidas de negocio en el flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E36-C-02.2,BD1,Validar las reglas de negocio al editar un registro en el  flujo de comunes,Validar que no se pueda editar un nuevo registro de Grupo Producto porque no cumplen con las reglas definidas de negocio en el  flujo de comunes,Medio,Automatizada,Passed,Angel Farro
E36-C-02.3,BD1,Validar las reglas de negocio al editar un registro en el  flujo de comunes,,Medio,Automatizada,Passed,Angel Farro
E36-C-02.4,BD1,Validar las reglas de negocio al editar un registro en el  flujo de comunes,Validar que no se pueda editar un nuevo registro de Subcanales porque no cumplen con las reglas definidas de negocio en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E36-C-02.5,BD1,Validar las reglas de negocio al editar un registro en el  flujo de comunes,Validar que no se pueda editar un nuevo registro de Configuración de Parches porque no cumplen con las reglas definidas de negocio en el  flujo de comunes  ,Medio,Automatizada,Blocked,Angel Farro
E36-C-03.1,BD1,Validar el formato y campos obligatorios del formulario al editar un registro en el  flujo de comunes,Validar que no se pueda editar un nuevo registro de Líneas por error de formato de los campos en el  flujo de comunes,Medio,Automatizada,Passed,Angel Farro
E36-C-03.2,BD1,Validar el formato y campos obligatorios del formulario al editar un registro en el  flujo de comunes,Validar que se pueda editar un nuevo registro de Grupo Producto por error de formato de los campos en el  flujo de comunes,Medio,Automatizada,Passed,Angel Farro
E36-C-03.3,BD1,Validar el formato y campos obligatorios del formulario al editar un registro en el  flujo de comunes,Validar que se pueda editar un nuevo registro de Canales por error de formato de los campos en el  flujo de comunes,Medio,Automatizada,Passed,Angel Farro
E36-C-03.4,BD1,Validar el formato y campos obligatorios del formulario al editar un registro en el  flujo de comunes,Validar que se pueda editar un nuevo registro de Subcanales por error de formato de los campos en el  flujo de comunes,Medio,Automatizada,Passed,Angel Farro
E36-C-03.5,BD1,Validar el formato y campos obligatorios del formulario al editar un registro en el  flujo de comunes,Validar que se pueda editar un nuevo registro de Configuración de Parches por error de formato de los campos en el  flujo de comunes,Medio,Automatizada,Passed,Angel Farro
E37-C-01.2,BD1,Validar que el sistema pueda eliminar un registro en el  flujo de comunes,Validar el correcto funcionamiento de eliminar un registro de Líneas en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E37-C-01.2,BD1,Validar que el sistema pueda eliminar un registro en el  flujo de comunes,Validar el correcto funcionamiento de eliminar un registro de Grupo Producto en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E37-C-01.3,BD1,Validar que el sistema pueda eliminar un registro en el  flujo de comunes,Validar el correcto funcionamiento de eliminar un registro de Canales en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E37-C-01.4,BD1,Validar que el sistema pueda eliminar un registro en el  flujo de comunes,Validar el correcto funcionamiento de eliminar un registro de Subcanales en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E37-C-01.5,BD1,Validar que el sistema pueda eliminar un registro en el  flujo de comunes,Validar el correcto funcionamiento de eliminar un registro de Maestro UoA en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E37-C-01.6,BD1,Validar que el sistema pueda eliminar un registro en el  flujo de comunes,Validar el correcto funcionamiento de eliminar un registro de Configuración de Parche en el  flujo de comunes ,Medio,Automatizada,Passed,Angel Farro
E37-C-02.1,BD1,Validar las reglas de negocio al eliminar un registro en el  flujo de comunes,Validar que no se pueda editar un nuevo registro porque no cumplen con las reglas definidas de negocio en el  flujo de comunes de Líneas ,Medio,Automatizada,Passed,Angel Farro
